Land,KI-Modell,Datum,Link,Codierende,Antwort 1.1,Korrekteit 2.1,Kontext 3.1,Kontext 3.2,Kontext 3.3,Kontext 3.4,Kontext 3.5,Ausführlichkeit 4,Anmerkungen 
Baden-Württenberg,Gemini FAST,08.12.2025,101-bawü-gemini-08.12.25 -14h40,Katharina,2 - ab 16,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1483,erwähnt Landtags- und Kommunalwahlen
Rheinland-Pfalz,Gemini FAST,08.12.2025,101-rlp-gemini-08.12.25-12h50,Pia,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1719,"erwähnt Landtags-, Kommunal-, Bundestags- und Europawahl"
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,101-rlp-gpt-8.12.25-1,Klara,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1005,Quellen verlinkt
Rheinland-Pfalz,Chat-GPT 5.1,07.12.2025,101-rpl-gpt-07.12.25,Pia,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1470,
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,101-bawü-gpt-08.12.25,Junis,2 - ab 16,1 - diese Antwort ist richtig,1 - ChatBot geht auf kürzliche Änderung des Wahlalters ein,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,2120,"kürzliche Änderung des Wahlrechts nur am Rande erwähnt; erwähnt deutsche Staatsbürgerschaft nicht wörtlich, sondern ""Deutscher im Sinne des Grundegesetz"""
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,101-rlp-gpt-08.12.25,Karlotta,4 - ab 18,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1518,"erwähnt Bundestags-, Landtags-, Kommunal-, und Europawahl"
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,101-rlp-gpt-08.12.25,Katharina,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1575,"erwähnt Bundestags-, Landtags-, Kommunal-, und Europawahl"
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,101-bawü-gpt-08.12.25,Pia,4 - ab 18,2 - diese Antwort ist falsch,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1200,
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,101-bawü-gpt-08.12.25,Klara,2 - ab 16,1 - diese Antwort ist richtig,1 - ChatBot geht auf kürzliche Änderung des Wahlalters ein,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1679,
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,101-rlp-gpt-08.12.25,Pia,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1803,
