Land,KI-Modell,Datum,Link,Codierung,Antwort 1.1,Korrektheit 2,Kontext 3.1,Kontext 3.2,Ausführlichkeit 4,Anmerkungen 
Baden-Württenberg,Gemini FAST,08.12.2025,102-bawü-gemini-08.12.25 -14h40,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1272,
Rheinland-Pfalz,Gemini FAST,08.12.2025,102-rlp-08.12.25-12h50,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1927,"Infos dazu, wer wahlberechtigt ist"
Rheinland-Pfalz,Chat-GPT 5.1,08.12.25,102-rlp-gpt-8.12.25-1,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1024,Infos zur Briefwahl sehr kurz
Rheinland-Pfalz,Chat-GPT 5.1,07.12.2025,102-rpl-gpt-07.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1482,"gibt Infos zu ""Briefwahl vor Ort"""
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,102-bawü-gpt-08.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1041,"keine Infos zur Briefwahl, sondern nur angeschnitten"
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,102-rlp-gpt-08.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1286,kurze Voraussetzungen zu Wahlberechtigung angeschnitten
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,102-rlp-gpt-08.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1459,
Baden-Württenberg,Chat-GPT 5.1,08.12.2025, 102-bawü-gpt-08.12.25,Junis,1- im Wahlbüro,2 - diese Antwort ist richtig & unvollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,983,
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,102-bawü-gpt-08.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1034,
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,102-rlp-gpt-08.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,919,"keine Infos zur Briefwahl, aber erwähnt"
