Land,KI-Modell,Datum,Link,Codierung,Antwort 1.1,Korrektheit 1.2,Antwort 1.3,Korrektheit 1.4,Kontext 2.1,Kontext 2.2,Kontext 2.3,Ausführlichkeit 3,Anmerkungen 
Baden-Württenberg,Gemini FAST,08.12.2025,104-bawü-gemini-08.12.25 -14h40,Klara,20 - andere Angabe,99 - Antwort uneindeutig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1638,
Rheinland-Pfalz,Gemini FAST,08.12.2025,104-rlp-gemini-08.12.25-12h50,Katharina,20 - andere Angabe,2 - diese Antwort ist falsch,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1328,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-8.12.25-1,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,565,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,07.12.2025,104-rpl-gpt-07.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,488,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,104-bawü-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,702,erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,535,Quellen; erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,486,Quellen; erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,104-bawü-gpt-08.12.25,Katharina,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,510,Quellen; erwähnt Ausnahmefall der Beantragungszeit der Briefwahlunterlagen
Baden-Württenberg,Chat-GPT 5.1,08.12.2025,104-bawü-gpt-08.12.25,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,1 - Abgabefrist am Wahltag um 18 Uhr.,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,803,
Rheinland-Pfalz,Chat-GPT 5.1,08.12.2025,104-rlp-gpt-08.12.25,Pia,"4 - richtiger Zeitpunkt, aber keine Datumsangabe",1 - diese Antwort ist richtig,10 - Angabe fehlt,10 - Angabe fehlt,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,618,
